Brand Name,Website,Country,source
05-studio,the05studio.com,United Kingdom,FU
1979 SWIMWEAR,1-9-7-9.com,Germany,FU
209 MARE,209mare.com,France,FU
24colours,24colours.de,Germany,FU
A Piece of Chic,a-piece-of-chic.com,France,FU
ASCENO,asceno.com,United Kingdom,FU
AYA LABEL,ayalabel.com,Netherlands,FU
Aelia Anna,aeliaanna.com,Greece,FU
Agent Provocateur,agentprovocateur.com,United Kingdom,FU
Agnes B France,agnesb.fr,France,FU
Alberta Ferretti,albertaferretti.com,Italy,FU
Alcott,alcott.eu,Italy,FU
Alexander McQueen,alexandermcqueen.com,United Kingdom,FU
Alto Milano,altomilano.it,Italy,FU
Ame Balance,amebalance.com,Netherlands,FU
Antony Morato,morato.it,Italy,FU
Armani Exchange,armaniexchange.com,Italy,FU
Arthur,boutique-arthur.com,France,FU
Aubade Paris,aubadepro.com,France,FU
BLAKE SEVEN,blake-seven.com,Netherlands,FU
Badawii Beachwear,badawiibeachwear.com,Spain,FU
Balibaris,balibaris.com,France,FU
Bamboo Basics,bamboobasics.com,Netherlands,FU
Banana Moon,bananamoon.com,Belgium,FU
Becksöndergaard,becksondergaard.com,Denmark,FU
Beeren Bodywear,beerenondergoed.nl,Netherlands,FU
Befeni,befeni.com,Germany,FU
Beliza,beliza.fr,France,FU
Bellerose,bellerose.com,Belgium,FU
Bellfield Clothing,bellfieldclothing.com,United Kingdom,FU
Ben Sherman,bensherman.com,United Kingdom,FU
Benibeca,benibeca.com,Spain,FU
Bernard Homme,bernardhomme.com,Netherlands,FU
Billet Doux Lingerie,billetdoux.com,France,FU
Björn Borg,bjornborg.com,Sweden,FU
Blancheporte,blancheporte.fr,France,FU
BlueBella,bluebella.com,United Kingdom,FU
Boob,boobdesign.com,Sweden,FU
Bora-bora,bora-bora.es,Spain,FU
Bruce Field,brucefield.com,France,FU
Brunotti,brunotti.com,Netherlands,FU
Burton of London,burton.fr,France,FU
CARANDO,carando.es,Spain,FU
CMP,cmpsport.com,Italy,FU
CYCLEUR de LUXE,cycleurdeluxe.com,Belgium,FU
CYELL,cyell.com,Netherlands,FU
Cache Coeur,cachecoeurlingerie.com,France,FU
Calvin Klein,calvinklein.com,Netherlands,FU
Carriwell,carriwell.com,Denmark,FU
Casual Friday,casual-friday.eu,Denmark,FU
Catimini,catimini.com,France,FU
Champion,championstore.com,Italy,FU
Chantelle,chantelle.com,France,FU
Charles Tyrwhitt,ctshirts.com,United Kingdom,FU
Chelsea Peers,chelseapeersnyc.com,United Kingdom,FU
Chiemsee,chiemsee.com,Germany,FU
Clean Cut Copenhagen,cleancutcopenhagen.com,Denmark,FU
Club L London,clubllondon.com,United Kingdom,FU
Colourful Rebel,colourfulrebel.com,Netherlands,FU
Comazo,comazo.de,Germany,FU
Crew Clothing Company,crewclothing.co.uk,UK,FU
Cruyff,cruyff.com,Netherlands,FU
Curvy Kate,curvykate.com,United Kingdom,FU
Cybèle,cybele-lingerie.de,Germany,FU
D O R I N A,dorina.com,Germany,FU
DYNAFIT,dynafit.com,Italy,FU
Damart,damart.fr,France,FU
Danefæ,danefae.dk,Denmark,FU
Daquïni,daquini.com,Germany,FU
Darjeeling,darjeeling.fr,France,FU
David Gandy Wellwear,davidgandywellwear.com,United Kingdom,FU
Dedicated,dedicatedbrand.com,Sweden,FU
Deeluxe,deeluxe.fr,France,FU
Devoted By Zizzi,zizzi.dk,Denmark,FU
Dolce & Gabbana,dolcegabbana.com,Italy,FU
Don John,danjohn.com,Italy,FU
Dora Larsen,doralarsen.com,United Kingdom,FU
Dorothy Perkins,dorothyperkins.com,United Kingdom,FU
Dstrezzed,dstrezzed.com,The Netherlands,FU
Du Pareil au même,en.dpam.com,France,FU
Dunderdon,dunderdon.com,Sweden,FU
ELFS,elfs.hr,Croatia,FU
ETERNA,eterna.de,Germany,FU
Eat Dust,eatdustclothing.com,Belgium,FU
Eden Park,eden-park.com,France,FU
Eivy,eivyclothing.com,Sweden,FU
Enable the Label,enablethelabel.com,Netherlands,FU
Envie de Fraise,enviedefraise.com,France,FU
Envii,envii.com,Denmark,FU
Escora,escora-dessous.de,Germany,FU
Essentiel Antwerp,essentiel.be,Belgium,FU
Eudoxie,eudoxie.shop,France,FU
FALKE,falke.com,Germany,FU
Farah,farah.co.uk,UK,FU
Farai London,farailondon.com,United Kingdom,FU
Femilet,femilet.dk,France,FU
Fiorucci,fiorucci.com,Italy,FU
Firetrap,firetrap.com,United Kingdom,FU
Fred & Ginger NV,fredginger.com,Belgium,FU
Fred Mello,fredmello.it,Italy,FU
Freya,freyalingerie.com,United Kingdom,FU
GANT,gant.com,Sweden,FU
GINA LAURA,gina-laura.com,Germany,FU
GRIMEY,grimeywear.com,Spain,FU
Gallo,theartofgallo.it,Italy,FU
Globe,globebrand.com,France,FU
Glorious Gangsta,gloriousgangsta.com,United Kingdom,FU
Golden Equation,goldenequation.co.uk,UK,FU
Good For Nothing,gfnclothing.com,United Kingdom,FU
HANS PLOENES GmbH,jploenes.de,Germany,FU
HAPPY SHORTS,happyshorts.com,Germany,FU
HEAD Sport,head.com,Austria,FU
HOBBS,hobbs.com,United Kingdom,FU
HOSBJERG,hosbjerg.com,Denmark,FU
Heatkeeper,heatkeeper.nl,Netherlands,FU
Heimat,heimat-textil.com,United Kingdom,FU
Helly Hansen,hellyhansen.com,Germany,FU
Holzweiler,holzweiler.no,Norway,FU
Houdini,houdinisportswear.com,Sweden,FU
Hudson,hudson-shop.com,Germany,FU
Hugo Boss,hugoboss.com,Germany,FU
Hunter Boots,hunterboots.com,United Kingdom,FU
Hunter ORIGINAL,hunterboots.com,United Kingdom,FU
Hust & Claire,hustandclaire.com,Denmark,FU
INASKA,inaska-swimwear.com,Germany,FU
ION,ion-products.com,Germany,FU
IRIEDAILY,iriedaily.de,Germany,FU
ITEM m6,item-m6.com,Germany,FU
IVY OAK,ivy-oak.com,Germany,FU
IZAC,izac.fr,France,FU
Icebreaker,icebreaker.com,France,FU
Icepeak,icepeak.fi,Finland,FU
InWear,inwear.com,Denmark,FU
Inouitoosh,inouitoosh.com,France,FU
Invicta,invicta.it,Italy,FU
JAKO,jakosportkleding.nl,Netherlands,FU
JOOP!,joop.com,Germany,FU
JUST female,justfemale.dk,Denmark,FU
Jack&Jones,jackjones.com,Netherlands,FU
Jacquemus,jacquemus.fr,France,FU
Jaded London,jadedldn.com,United Kingdom,FU
Joules,joules.com,United Kingdom,FU
Joyce & Girls,joyceandgirls.com,Switzerland,FU
Just Junkies,justjunkies.eu,Denmark,FU
KABAK,kabak.com.pl,Poland,FU
KAI AND KOA,kaikoaworld.com,Spain,FU
KORA MIKINO,koramikino.eu,Germany,FU
KUNERT,kunert.de,Germany,FU
Kanjers,kanjerskinderkleding.nl,The Netherlands,FU
Karko,2karko.com,Poland,FU
Kujten,kujten.com,France,FU
LA COME DI,lacomedi.com,Italy,FU
LIDEA,lidea.de,Germany,FU
LION OF PORCHES,lionofporches.com,Portugal,FU
LOU Lingerie,lou-lingerie.fr,France,FU
LOVE BRAND & Co.,lovebrand.com,United Kingdom,FU
La Perla,laperla.com,Germany,FU
Lacoste,lacoste.com,,FU
Lafuma,lafuma.com,France,FU
Laundry Industry,laundryindustry.com,Netherlands,FU
Le Slip Français,leslipfrancais.fr,France,FU
Lemon Beret,lemonberet.fashion,Belgium,FU
Lentiggini,lentiggini-swim.com,Netherlands,FU
Leon & Harper,leonandharper.com,France,FU
Les Soeurs,lessoeurs.be,Belgium,FU
Les girls Les boys,lesgirlslesboys.com,United Kingdom,FU
Liefling,mouwlengte7.com,Netherlands,FU
Like FLO,flo.nl,Netherlands,FU
LingaDore,lingadore.nl,Netherlands,FU
Lise Charmel,lisecharmel.com,France,FU
Livera,livera.nl,France,FU
Louisa Bracq,louisabracq.com,France,FU
Louise Misha,louisemisha.com,France,FU
Lovable,lovable.it,Italy,FU
Love Stories,lovestoriesintimates.com,Netherlands,FU
Lovechild 1979,lovechild1979.com,Denmark,FU
Lovjoi,lovjoi.com,Germany,FU
Lowa,lowa.nl,Netherlands,FU
Ludique,ludiqueshop.com,Sweden,FU
Luke 1977,luke1977.com,United Kingdom,FU
Lyle & Scott Scotland,lyleandscott.com,United Kingdom,FU
MAISONLEJABY,maisonlejaby.com,France,FU
MERCHCODE,urban-classics.net,Germany,FU
MINI A TURE,miniature.com,Denmark,FU
MISTER TEE,urban-classics.net,Germany,FU
MONK & ANNA,monkandanna.com,Netherlands,FU
MSGM,msgm.it,Italy,FU
MUJI,mujionline.eu,Germany,FU
Mackintosh,mackintosh.com,United Kingdom,FU
Mads Nørgaard,madsnorgaard.com,Denmark,FU
Maiyo,maiyo.co.uk,UK,FU
Mango,mango.com,Spain,FU
Marimekko,marimekko.com,Finland,FU
Marlies Dekkers,marliesdekkers.com,Netherlands,FU
Maryan Mehlhorn,maryanmehlhorn.com,Germany,FU
Merz b. Schwanen,merzbschwanen.com,Germany,FU
Metissier,metissier.com,France,FU
Mila beachwear,mila-beach.com,Netherlands,FU
Minelli,minelli.fr,France,FU
Mint Velvet,mintvelvet.co.uk,UK,FU
Modström,modstrom.com,Denmark,FU
Molo A/S - Headquarters,molo.com,Denmark,FU
