domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
maria-dee-shop.de,Bodywear Leaning,0.6904545454545454,MARIA DEE SHOP,MARIA DEE SHOP,Germany,Germany,HS segment,"bodywear:shapewear,bikini,bh,dessous;generalist:accessoires;vision_screenshot:0.65",0.730909090909091,0.65,http+vision
shopiuritamennoia.com,Bodywear Leaning,0.6777777777777778,IU RITA MENNOIA,IU RITA MENNOIA,Italy,Italy,Salon,"bodywear:bikini,costumi;generalist:home;vision_screenshot:0.85",0.5055555555555555,0.85,http+vision
maisonflora.fr,Bodywear Leaning,0.6777777777777778,MAISON FLORA,MAISON FLORA,France,France,HS fairs,bodywear:lingerie;generalist:maison;vision_screenshot:0.85,0.5055555555555555,0.85,http+vision
kunert.de,Bodywear Leaning,0.675,KUNERT,KUNERT,Germany,Germany,FU,vision_screenshot:0.75;text_extraction_failed,0.0,0.75,playwright
viadigioia.nl,Bodywear Leaning,0.675,Via di Gioia,Via di Gioia,Netherlands,Netherlands,FU,bodywear:swimwear;vision_screenshot:0.85,0.5,0.85,http+vision
wolford.com,Bodywear Leaning,0.675,Wolford,Wolford|Wolford AG,Austria,Austria,Dealfront|FU|HS segment|e-com retailers,vision_screenshot:0.75;text_extraction_failed,0.0,0.75,playwright
clara-intimo.it,Bodywear Leaning,0.675,CLARA,CLARA,Italy,Italy,Salon,bodywear:intimo;vision_screenshot:0.85,0.5,0.85,http+vision
loheshop.com,Bodywear Leaning,0.675,LOHE,LOHE,Spain,Spain,Salon,"bodywear:pyjamas,swimwear;generalist:children,accessories;vision_screenshot:0.65",0.7000000000000001,0.65,http+vision
gedes.be,Bodywear Leaning,0.675,Gedes BV,GEDES B.V.|Gedes BV,Belgium,Belgium,Body Fashion Trade Fair|HS segment,vision_screenshot:0.75;text_extraction_failed,0.0,0.75,playwright
onthatass.com,Bodywear Leaning,0.675,ON THAT ASS,ON THAT ASS,Netherlands,Netherlands,HS segment,vision_screenshot:0.75;text_extraction_failed,0.0,0.75,playwright
obsessive.com.pl,Bodywear Leaning,0.6666666666666666,Obsessive,Obsessive,Poland,Poland,e-com retailers,bodywear:panties,0.6666666666666666,,http
seanay.fr,Bodywear Leaning,0.6583333333333333,SEANAY,SEANAY,France,France,Salon,bodywear:swimwear;vision_screenshot:0.65,0.6666666666666666,0.65,http+vision
trofe.se,Bodywear Leaning,0.6583333333333333,Trofé,Trofé,Sweden,Sweden,e-com retailers,"bodywear:pyjamas,loungewear;vision_screenshot:0.65",0.6666666666666666,0.65,http+vision
ennamoda.com,Bodywear Leaning,0.6578947368421053,ENNA MODA,ENNA MODA,United Kingdom,United Kingdom,HS fairs,"bodywear:bras,pyjamas,loungewear;generalist:home;vision_screenshot:0.55",0.7657894736842106,0.55,http+vision
