domain,label,confidence,text_score,vision_score,reasons,image_count,error,started_at,finished_at,stage_used,nav_count,heading_count
maria-dee-shop.de,Bodywear Leaning,0.6904545454545454,0.730909090909091,0.65,"bodywear:shapewear,bikini,bh,dessous;generalist:accessoires;vision_screenshot:0.65",1,,2025-11-07T16:29:59.076771,2025-11-07T16:30:02.499633,http+vision,91,2
shopiuritamennoia.com,Bodywear Leaning,0.6777777777777778,0.5055555555555555,0.85,"bodywear:bikini,costumi;generalist:home;vision_screenshot:0.85",1,,2025-11-07T13:15:11.075037,2025-11-07T13:15:18.437771,http+vision,6,10
maisonflora.fr,Bodywear Leaning,0.6777777777777778,0.5055555555555555,0.85,bodywear:lingerie;generalist:maison;vision_screenshot:0.85,1,,2025-11-07T16:05:59.171689,2025-11-07T16:06:06.797297,http+vision,30,10
kunert.de,Bodywear Leaning,0.675,0.0,0.75,vision_screenshot:0.75;text_extraction_failed,1,,2025-11-07T12:31:15.113856,2025-11-07T12:31:21.683033,playwright,0,0
viadigioia.nl,Bodywear Leaning,0.675,0.5,0.85,bodywear:swimwear;vision_screenshot:0.85,1,,2025-11-07T12:58:45.960270,2025-11-07T12:58:55.389193,http+vision,55,10
wolford.com,Bodywear Leaning,0.675,0.0,0.75,vision_screenshot:0.75;text_extraction_failed,1,,2025-11-07T13:00:25.742058,2025-11-07T13:00:42.700563,playwright,0,0
clara-intimo.it,Bodywear Leaning,0.675,0.5,0.85,bodywear:intimo;vision_screenshot:0.85,1,,2025-11-07T13:13:23.510008,2025-11-07T13:13:31.634257,http+vision,34,10
loheshop.com,Bodywear Leaning,0.675,0.7000000000000001,0.65,"bodywear:pyjamas,swimwear;generalist:children,accessories;vision_screenshot:0.65",1,,2025-11-07T13:15:51.255313,2025-11-07T13:16:00.609904,http+vision,82,10
gedes.be,Bodywear Leaning,0.675,0.0,0.75,vision_screenshot:0.75;text_extraction_failed,1,,2025-11-07T14:14:58.503908,2025-11-07T14:15:06.529626,playwright,0,0
onthatass.com,Bodywear Leaning,0.675,0.0,0.75,vision_screenshot:0.75;text_extraction_failed,1,,2025-11-07T16:20:48.349381,2025-11-07T16:20:51.541186,playwright,0,0
obsessive.com.pl,Bodywear Leaning,0.6666666666666666,0.6666666666666666,,bodywear:panties,0,,2025-11-07T13:31:31.759828,2025-11-07T13:31:37.693856,http,93,10
seanay.fr,Bodywear Leaning,0.6583333333333333,0.6666666666666666,0.65,bodywear:swimwear;vision_screenshot:0.65,1,,2025-11-07T13:22:00.340500,2025-11-07T13:22:08.187729,http+vision,30,5
trofe.se,Bodywear Leaning,0.6583333333333333,0.6666666666666666,0.65,"bodywear:pyjamas,loungewear;vision_screenshot:0.65",1,,2025-11-07T14:02:11.915008,2025-11-07T14:02:15.339485,http+vision,21,8
ennamoda.com,Bodywear Leaning,0.6578947368421053,0.7657894736842106,0.55,"bodywear:bras,pyjamas,loungewear;generalist:home;vision_screenshot:0.55",1,,2025-11-07T16:17:54.939429,2025-11-07T16:18:19.228818,http+vision,94,10
maiyo.co.uk,Bodywear Leaning,0.6454545454545455,0.6409090909090909,0.65,"bodywear:swimwear,bikini;generalist:accessories;vision_screenshot:0.65",1,,2025-11-07T12:35:17.379727,2025-11-07T12:35:21.621728,http+vision,84,4
v2dlingerie.com,Bodywear Leaning,0.645,0.44,0.85,bodywear:lingerie;generalist:home;vision_screenshot:0.85,1,,2025-11-07T17:15:52.051896,2025-11-07T17:15:55.231573,http+vision,65,9
schiesser.com,Bodywear Leaning,0.6444444444444444,0.6888888888888889,0.6,"bodywear:underwear,bra,bras,panties,sleepwear;generalist:outerwear,jackets,children;vision_screenshot:0.60",1,,2025-11-07T12:40:59.358678,2025-11-07T12:41:04.899000,http+vision,50,5
icone-lingerie.com,Bodywear Leaning,0.6369047619047619,0.6238095238095238,0.65,"bodywear:lingerie,tanga;generalist:accessoires;vision_screenshot:0.65",1,,2025-11-07T13:15:04.596660,2025-11-07T13:15:09.772339,http+vision,34,8
gdfsyehui.com,Bodywear Leaning,0.63,0.0,0.7,vision_screenshot:0.70;text_extraction_failed,1,,2025-11-07T16:09:14.926586,2025-11-07T16:09:28.476613,playwright,0,0
alvana.fr,Bodywear Leaning,0.6291666666666667,0.6291666666666667,,"bodywear:swimwear,culotte,maillot de bain,maillots;generalist:bijoux",0,,2025-11-07T16:12:07.073971,2025-11-07T16:12:07.924457,http,59,10
khioneswimwear.com,Bodywear Leaning,0.625,0.5,0.75,bodywear:maillots;vision_screenshot:0.75,1,,2025-11-07T13:15:23.295871,2025-11-07T13:15:27.695790,http+vision,34,9
moi-et-marie.com,Bodywear Leaning,0.625,0.5,0.75,bodywear:ondergoed;vision_screenshot:0.75,1,,2025-11-07T14:23:57.496291,2025-11-07T14:24:01.437213,http+vision,44,4
hosierycenter.nl,Bodywear Leaning,0.625,0.5,0.75,bodywear:bodywear;vision_screenshot:0.75,1,,2025-11-07T16:20:44.364520,2025-11-07T16:20:47.453793,http+vision,82,10
sistersrepublic.com,Bodywear Leaning,0.6138888888888889,0.3777777777777777,0.85,"bodywear:culotte,maillots;generalist:accessoires,maison;vision_screenshot:0.85",1,,2025-11-07T16:21:56.258264,2025-11-07T16:22:02.007157,http+vision,28,10
aliceetmaman.be,Bodywear Leaning,0.61,0.57,0.65,bodywear:nightwear;generalist:home;vision_screenshot:0.65,1,,2025-11-07T16:19:26.193963,2025-11-07T16:19:33.003708,http+vision,14,7
muchachomalo.com,Bodywear Leaning,0.6038461538461539,0.6576923076923077,0.55,"bodywear:briefs,trunks,ondergoed,boxershorts,sokken;generalist:accessoires;vision_screenshot:0.55",1,,2025-11-07T12:36:10.502665,2025-11-07T12:36:20.035976,http+vision,52,10
nue-studio.com,Bodywear Leaning,0.6025,0.5549999999999999,0.65,"bodywear:lingerie,swimwear;generalist:jackets,accessories;vision_screenshot:0.65",1,,2025-11-07T12:36:59.686326,2025-11-07T12:37:08.816237,http+vision,43,0
myjama.de,Bodywear Leaning,0.6025,0.5549999999999999,0.65,"bodywear:loungewear,pyjama;generalist:kinder;vision_screenshot:0.65",1,,2025-11-07T16:39:11.664193,2025-11-07T16:39:21.629692,http+vision,84,0
damella.se,Bodywear Leaning,0.6,0.75,0.45,bodywear:bikini;vision_screenshot:0.45,1,,2025-11-07T13:27:11.927563,2025-11-07T13:27:17.329737,http+vision,29,10
lascana.de,Bodywear Leaning,0.5991935483870967,0.4483870967741935,0.75,"bodywear:bh,slips,dessous,nachtwäsche;generalist:accessoires,mäntel,jacken;vision_screenshot:0.75",1,,2025-11-07T13:15:34.500035,2025-11-07T13:15:39.831036,http+vision,97,10
wallien.com,Bodywear Leaning,0.5895833333333333,0.6291666666666667,0.55,"bodywear:swimwear,swim;generalist:accessories;vision_screenshot:0.55",1,,2025-11-07T12:59:59.940934,2025-11-07T13:00:08.415184,http+vision,95,9
