domain,label,confidence,text_score,vision_score,reasons,image_count,error,started_at,finished_at,stage_used,nav_count,heading_count
the05studio.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:09:41.105380,2025-11-07T12:09:51.210632,playwright,0,0
1-9-7-9.com,Pure Bodywear,0.7130000000000001,0.776,0.65,"bodywear:swimwear,bikini;generalist:home,bags;vision_screenshot:0.65",1,,2025-11-07T12:09:51.575954,2025-11-07T12:09:58.282407,http+vision,26,9
209mare.com,Bodywear Leaning,0.405,0.0,0.45,vision_screenshot:0.45;text_extraction_failed,1,,2025-11-07T12:09:58.581609,2025-11-07T12:10:12.904122,playwright,0,0
24colours.de,Generalist,0.8987951807228916,0.1012048192771084,,"bodywear:lingerie,swimwear;generalist:denim,accessoires,jacken",0,,2025-11-07T12:10:13.250147,2025-11-07T12:10:15.250237,http,118,9
a-piece-of-chic.com,Generalist,1.0,0.0,,"generalist:accessoires,manteaux,vestes",0,,2025-11-07T12:10:15.518102,2025-11-07T12:10:17.004332,http,52,9
asceno.com,Bodywear Leaning,0.5850000000000001,0.0,0.65,vision_screenshot:0.65;text_extraction_failed,1,,2025-11-07T12:10:17.293727,2025-11-07T12:10:27.271760,playwright,0,0
ayalabel.com,Generalist,1.0,0.0,,generalist:bags,0,,2025-11-07T12:10:27.694642,2025-11-07T12:10:28.359449,http,78,9
aeliaanna.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:10:28.641910,2025-11-07T12:10:36.503526,playwright,0,0
agentprovocateur.com,Pure Bodywear,0.855,0.0,0.95,vision_screenshot:0.95;text_extraction_failed,1,,2025-11-07T12:10:36.842321,2025-11-07T12:10:41.817490,playwright,0,0
agnesb.fr,Generalist,1.0,0.0,,,0,,2025-11-07T12:10:42.132254,2025-11-07T12:10:47.123787,playwright,0,0
albertaferretti.com,Generalist,1.0,0.0,,"generalist:coats,jackets,shoes",0,,2025-11-07T12:10:47.411283,2025-11-07T12:10:48.922090,http,53,7
alcott.eu,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T12:10:49.199071,2025-11-07T12:11:01.052162,playwright,0,0
alexandermcqueen.com,Generalist,1.0,0.0,,"generalist:shoes,accessories,bags",0,,2025-11-07T12:11:01.791188,2025-11-07T12:11:26.347785,firecrawl,36,5
altomilano.it,Generalist,1.0,0.0,,"generalist:sneakers,accessories",0,,2025-11-07T12:11:26.975545,2025-11-07T12:11:28.726965,http,76,10
amebalance.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:11:29.017195,2025-11-07T12:11:38.114078,playwright,0,0
morato.it,Generalist,1.0,0.0,,"generalist:shoes,accessories",0,,2025-11-07T12:11:38.631635,2025-11-07T12:11:40.157986,http,15,3
armaniexchange.com,Generalist,1.0,0.0,,,0,,2025-11-07T12:11:40.517918,2025-11-07T12:11:42.621807,playwright,0,0
boutique-arthur.com,Pure Bodywear,0.9713333333333334,0.9713333333333334,,"bodywear:pyjamas,boxers,slips,pyjama,sous-vêtements;generalist:maison",0,,2025-11-07T12:11:42.992417,2025-11-07T12:11:44.001569,http,150,7
aubadepro.com,Error,0.0,,,,0,Firecrawl API error: 500,2025-11-07T12:11:44.456062,2025-11-07T12:12:07.815125,,0,0
blake-seven.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:12:08.326556,2025-11-07T12:12:15.485339,playwright,0,0
badawiibeachwear.com,Generalist,1.0,0.0,,"generalist:zapatillas,niños,bebé",0,,2025-11-07T12:12:15.871499,2025-11-07T12:12:16.903392,http,150,4
balibaris.com,Generalist,1.0,0.0,,"generalist:denim,jeans,kids",0,,2025-11-07T12:12:17.193807,2025-11-07T12:12:18.416618,http,141,10
bamboobasics.com,Bodywear Leaning,0.5793103448275863,0.6086206896551724,0.55,"bodywear:boxers,trunks,ondergoed,bh,slips;generalist:baby;vision_screenshot:0.55",1,,2025-11-07T12:12:18.676434,2025-11-07T12:12:24.100557,http+vision,47,10
bananamoon.com,Pure Bodywear,0.8166666666666667,0.8166666666666667,,"bodywear:swimwear,bikini,loungewear,thong,shorty;generalist:accessories",0,,2025-11-07T12:12:24.408219,2025-11-07T12:12:25.142109,http,98,2
becksondergaard.com,Generalist,0.8092592592592593,0.2814814814814814,0.1,"bodywear:pyjamas,swimwear,bikini;generalist:accessories,bags;vision_screenshot:0.10",1,,2025-11-07T12:12:25.421489,2025-11-07T12:12:29.703375,http+vision,94,9
beerenondergoed.nl,Pure Bodywear,0.82875,0.82875,,"bodywear:ondergoed,slip,slips,nachtkleding,boxershorts;generalist:baby,kinder",0,,2025-11-07T12:12:30.037953,2025-11-07T12:12:31.034408,http,98,0
befeni.com,Generalist,1.0,0.0,,,0,,2025-11-07T12:12:31.303015,2025-11-07T12:12:32.233341,http,9,6
beliza.fr,Pure Bodywear,0.95,0.95,,"bodywear:lingerie,swimwear,maillot de bain",0,,2025-11-07T12:12:32.526663,2025-11-07T12:12:33.518480,http,23,9
bellerose.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:12:33.798084,2025-11-07T12:12:37.294518,playwright,0,0
bellfieldclothing.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:12:37.663193,2025-11-07T12:12:46.756354,playwright,0,0
bensherman.com,Generalist,1.0,0.0,,"generalist:coats,jackets",0,,2025-11-07T12:12:47.098589,2025-11-07T12:12:47.778125,http,81,10
benibeca.com,Pure Bodywear,0.8571428571428571,0.8571428571428571,,bodywear:swim,0,,2025-11-07T12:12:48.110831,2025-11-07T12:12:49.043225,http,59,9
bernardhomme.com,Error,0.0,,,,0,Firecrawl API error: 500,2025-11-07T12:12:49.339520,2025-11-07T12:13:11.961475,,0,0
billetdoux.com,Generalist,1.0,0.0,,,0,,2025-11-07T12:13:12.486427,2025-11-07T12:13:14.913727,http,10,1
bjornborg.com,Generalist,0.7865079365079365,0.326984126984127,0.1,"bodywear:loungewear,boxers,trunks,ondergoed,slips;generalist:sneakers,boots,bags;vision_screenshot:0.10",1,,2025-11-07T12:13:15.220944,2025-11-07T12:13:19.562911,http+vision,100,8
blancheporte.fr,Bodywear Leaning,0.4530172413793103,0.6060344827586207,0.3,"bodywear:lingerie,pyjama,sous-vêtements,soutien-gorge,culotte;generalist:accessoires,chaussures,maison;vision_screenshot:0.30",1,,2025-11-07T12:13:19.861294,2025-11-07T12:14:17.926687,http+vision,135,6
bluebella.com,Pure Bodywear,0.9660305343511448,0.9660305343511448,,"bodywear:lingerie,bra,bras,nightwear,swimwear;generalist:accessories",0,,2025-11-07T12:14:18.429299,2025-11-07T12:14:19.245565,http,146,9
boobdesign.com,Bodywear Leaning,0.5850000000000001,0.0,0.65,vision_screenshot:0.65;text_extraction_failed,1,,2025-11-07T12:14:19.548730,2025-11-07T12:14:23.860034,playwright,0,0
bora-bora.es,Error,0.0,,,,0,Firecrawl API error: 500,2025-11-07T12:14:24.145874,2025-11-07T12:14:46.429973,,0,0
brucefield.com,Generalist,1.0,0.0,,"generalist:coats,jackets,accessories",0,,2025-11-07T12:14:46.866862,2025-11-07T12:14:49.999526,http,49,10
brunotti.com,Generalist,0.8764705882352941,0.1970588235294118,0.05,"bodywear:underwear;generalist:jackets,kids,accessories;vision_screenshot:0.05",1,,2025-11-07T12:14:50.308588,2025-11-07T12:14:55.396504,http+vision,49,3
burton.fr,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:14:55.703744,2025-11-07T12:14:58.595041,playwright,0,0
carando.es,Generalist,1.0,0.0,,,0,,2025-11-07T12:14:58.949070,2025-11-07T12:15:29.324223,firecrawl,0,1
cmpsport.com,Generalist,1.0,0.0,,"bodywear:underwear,swimwear;generalist:jackets,shoes,boots",0,,2025-11-07T12:15:29.853937,2025-11-07T12:15:30.841106,http,144,10
cycleurdeluxe.com,Generalist,1.0,0.0,,"generalist:outerwear,shoes,footwear",0,,2025-11-07T12:15:31.112311,2025-11-07T12:15:32.527277,http,35,8
cyell.com,Pure Bodywear,0.9166666666666666,0.9166666666666666,,"bodywear:swimwear,bikini",0,,2025-11-07T12:15:32.794920,2025-11-07T12:15:33.691644,http,17,8
cachecoeurlingerie.com,Bodywear Leaning,0.5,0.5070175438596491,0.1,"bodywear:lingerie,pyjamas,culotte,maillots;generalist:jeans,accessoires,manteaux;vision_screenshot:0.10",1,,2025-11-07T12:15:33.948770,2025-11-07T12:15:43.756074,http+vision,149,8
calvinklein.com,Generalist,0.7693181818181818,0.2306818181818181,,"bodywear:underwear,bras,briefs,panties,shapewear;generalist:denim,outerwear,shoes",0,,2025-11-07T12:15:44.150596,2025-11-07T12:16:55.164703,firecrawl,150,20
carriwell.com,Pure Bodywear,0.9,0.9,,"bodywear:bra,panties,swimwear",0,,2025-11-07T12:16:55.757134,2025-11-07T12:16:57.281149,http,65,8
casual-friday.eu,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:16:57.572496,2025-11-07T12:17:02.176724,playwright,0,0
catimini.com,Error,0.0,,,,0,Firecrawl API error: 408,2025-11-07T12:17:02.530007,2025-11-07T12:21:22.652771,,0,0
championstore.com,Generalist,0.9458333333333332,0.0541666666666666,,"bodywear:underwear,bras;generalist:jackets,sneakers,bags",0,,2025-11-07T12:21:23.385205,2025-11-07T12:21:24.345827,http,47,3
us.chantelle.com,Pure Bodywear,0.967741935483871,0.967741935483871,,"bodywear:bra,bras,panties,bikini,thong",0,,2025-11-07T12:21:24.649007,2025-11-07T12:21:25.093675,http,104,8
ctshirts.com,Generalist,1.0,0.0,,,0,,2025-11-07T12:21:25.387628,2025-11-07T12:21:26.419838,http,111,8
chelseapeersnyc.com,Pure Bodywear,0.8204545454545454,0.8204545454545454,,"bodywear:pyjamas,swim,pyjama;generalist:jackets,accessories",0,,2025-11-07T12:21:26.716130,2025-11-07T12:21:28.262416,http,150,10
chiemsee.com,Generalist,0.9866666666666668,0.0133333333333333,,"bodywear:unterwäsche;generalist:home,accessoires,jacken",0,,2025-11-07T12:21:28.556258,2025-11-07T12:21:29.258693,http,99,9
cleancutcopenhagen.com,Generalist,1.0,0.0,,"generalist:outerwear,coats,jackets",0,,2025-11-07T12:21:29.643775,2025-11-07T12:21:33.259787,http,24,9
clubllondon.com,Generalist,1.0,0.0,,,0,,2025-11-07T12:21:33.552934,2025-11-07T12:21:34.358904,http,52,10
colourfulrebel.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T12:21:34.668807,2025-11-07T12:21:56.230109,playwright,0,0
comazo.de,Pure Bodywear,0.8319148936170213,0.8319148936170213,,"bodywear:panties,shapewear,trunks,bh,slips;generalist:accessoires",0,,2025-11-07T12:21:56.670942,2025-11-07T12:21:59.324916,http,99,5
crewclothing.co.uk,Bodywear Leaning,0.5,0.4092592592592592,0.1,"bodywear:nightwear,swimwear,loungewear;generalist:jeans,coats,jackets;vision_screenshot:0.10",1,,2025-11-07T12:21:59.595411,2025-11-07T12:22:21.351733,http+vision,95,1
cruyff.com,Generalist,1.0,0.0,,"generalist:coats,jackets,footwear",0,,2025-11-07T12:22:21.787871,2025-11-07T12:22:22.438141,http,50,1
curvykate.com,Pure Bodywear,0.9090909090909092,0.9090909090909092,,"bodywear:lingerie,bra,bras,swimwear",0,,2025-11-07T12:22:22.775227,2025-11-07T12:22:23.558976,http,136,10
cybele-lingerie.de,Pure Bodywear,0.96,0.96,,bodywear:bras,0,,2025-11-07T12:22:23.838422,2025-11-07T12:22:24.693972,http,50,1
dorina.com,Pure Bodywear,0.95,0.95,,"bodywear:lingerie,bras,briefs,sleepwear,loungewear",0,,2025-11-07T12:22:24.958026,2025-11-07T12:22:25.510909,http,60,6
dynafit.com,Generalist,1.0,0.0,,"generalist:jackets,boots,accessories",0,,2025-11-07T12:22:25.803128,2025-11-07T12:22:26.430952,http,49,8
damart.fr,Bodywear Leaning,0.4395833333333333,0.6291666666666667,0.25,"bodywear:lingerie,sous-vêtements,maillots,nuit;generalist:manteaux,vestes,chaussures;vision_screenshot:0.25",1,,2025-11-07T12:22:26.691143,2025-11-07T12:22:30.674066,http+vision,53,1
danefae.dk,Generalist,1.0,0.0,,"generalist:baby,accessories",0,,2025-11-07T12:22:30.974738,2025-11-07T12:22:31.851187,http,150,7
daquini.com,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T12:22:32.117743,2025-11-07T12:22:35.484046,playwright,0,0
darjeeling.fr,Pure Bodywear,0.9333333333333332,0.9333333333333332,,"bodywear:lingerie,pyjamas,soutien-gorge",0,,2025-11-07T12:22:35.808869,2025-11-07T12:22:36.326823,http,17,4
davidgandywellwear.com,Pure Bodywear,0.9444444444444444,0.9444444444444444,,"bodywear:underwear,pyjamas,swim",0,,2025-11-07T12:22:36.608629,2025-11-07T12:22:37.492380,http,106,9
dedicatedbrand.com,Generalist,1.0,0.0,,,0,,2025-11-07T12:22:37.778616,2025-11-07T12:22:39.538968,playwright,0,0
deeluxe.fr,Generalist,1.0,0.0,,"generalist:jeans,coats,jackets",0,,2025-11-07T12:22:39.797541,2025-11-07T12:22:41.174476,http,49,10
zizzi.dk,Bodywear Leaning,0.5,0.408,0.1,"bodywear:shapewear;generalist:jeans,accessories;vision_screenshot:0.10",1,,2025-11-07T12:22:41.457785,2025-11-07T12:22:47.512494,http+vision,100,9
dolcegabbana.com,Generalist,1.0,0.0,,,0,,2025-11-07T12:22:47.804021,2025-11-07T12:22:48.765417,http,12,10
danjohn.com,Generalist,0.91,0.0,0.1,vision_screenshot:0.10;text_extraction_failed,1,,2025-11-07T12:22:49.092420,2025-11-07T12:22:59.209365,playwright,0,0
doralarsen.com,Pure Bodywear,0.9932432432432432,0.9932432432432432,,"bodywear:lingerie,bras,briefs,swim,bikini",0,,2025-11-07T12:22:59.665173,2025-11-07T12:23:00.521166,http,124,9
dorothyperkins.com,Generalist,0.9967741935483873,0.0032258064516129,,"bodywear:swimwear,loungewear;generalist:jeans,coats,jackets",0,,2025-11-07T12:23:00.858066,2025-11-07T12:23:02.810601,http,98,3
